category,text
climate,Presenters Lauren Layfield and Joe Tracini and The Dengineers team help the kids from Claire House Children's Hospice create a tree-house inspired village den.
climate,"A naturally occurring climate pattern that brought upheaval to weather systems around the world has ended, meteorologists say."
climate,"CO2e is a unit used to express the climate impact of all greenhouse gases together, as if they were all emitted as carbon dioxide."
climate,The authors say that this novel approach captures CO2 from the atmosphere up to three times more efficiently than current methods.
climate,"Burning fossil fuels like oil, gas and coal to generate electricity emits CO2, which is the main driver of climate change."
climate,It has revealed that annual damage caused by flooding could increase by more than a fifth in today's terms over the next century.
climate,"The rapid climate change we are now seeing is caused by humans using oil, gas and coal for their homes, factories and transport."
climate,"When these fossil fuels burn, they release greenhouse gases - mostly carbon dioxide (CO2). These gases trap the Sun's heat and cause the planet's temperature to rise."
climate,The UK has pledged to reduce its greenhouse-gas emissions to net zero by 2050. Net zero means a country takes as much of these climate-changing gases out of the atmosphere as it puts in.
climate,The Paris Agreement saw almost all the world's nations - for the first time - support a common strategy to cut the greenhouse gas emissions which cause global warming.
climate,The closure of Isle of Man's A18 Mountain Road has been extended until midday on Tuesday due to continuing icy conditions.
climate,"Heavy snow overnight has brought treacherous conditions to parts of the UK, with motorists in affected areas warned to travel only if essential."
climate,Eminent geographer Professor David Livingstone wants us to see that climate is more than just the weather outside our window - it's an empire that has shaped our lives and history.
climate,"After one of the hottest years on record, Sir David Attenborough looks at the science of climate change and potential solutions to this global threat."
climate,Some of Wales' biggest greenhouse gas-emitting firms have set out a £30bn plan to effectively cut their carbon emissions completely.
climate,Four leading political figures come together to take questions from young people in the studio and around the world on the challenges presented by climate change.
climate,"Richard Black investigates if climate change is diverting attention away from other environmental problems such as air pollution, acid oceans and species extinction."
climate,"The devastation caused by a tropical storm that ripped through Malawi, killing 225 people is a ""national tragedy"", the president has said."
climate,Heavy and destructive rain continue for parts the West Coast whilst a Nor'easter develops through midweek. Helen Willetts takes a closer look.
climate,"Persistent rain, which will be particularly heavy over southwest facing hills, is likely to cause some difficult travel conditions."
climate,"A fierce winter storm has caused widespread disruptions in the US, while south-eastern parts of the country brace for record-high temperatures."
climate,"Over 160,000 people in the Texas city of Odessa have been without water for two days as temperatures topped 36C (97F)."
climate,The sweltering weather began last Friday with temperatures hitting 35C (95F) and high humidity.
